Name,Status,Date,Basin
PALI,Hurricane - Category 2,January 2016,W. Pacific
ALEX,Hurricane - Category 1,January 2016,Atlantic
VICTOR,Tropical Cyclone - Category 4,January 2016,S. Pacific
CORENTIN,Tropical Cyclone,January 2016,Indian
STAN,Tropical Cyclone,January 2016,Indian
DAYA,Moderate Tropical Storm,February 2016,Indian
TATIANA,Tropical Cyclone - Category 2,February 2016,S. Pacific
WINSTON,Tropical Cyclone - Category 5,February 2016,S. Pacific
URIAH,Very Intense Tropical Cyclone,February 2016,Indian
YALO,Tropical Cyclone - Category 2,February 2016,S. Pacific
EMERAUDE,Very Intense Tropical Cyclone,March 2016,Indian
SIXTEEN,Tropical Cyclone - Category 1,March 2016,S. Pacific
SEVENTEEN,Moderate Tropical Storm,March 2016,Indian
ZENA,Tropical Cyclone - Category 4,April 2016,S. Pacific
FANTALA,Very Intense Tropical Cyclone,April 2016,Indian
AMOS,Tropical Cyclone - Category 4,April 2016,S. Pacific
ROANU,Severe Cyclonic Storm,May 2016,Indian
BONNIE,Tropical Storm,May 2016,Atlantic
COLIN,Post-Tropical Cyclone,June 2016,Atlantic
TD,Tropical Storm,June 2016,E. Pacific
DANIELLE,Tropical Storm,June 2016,Atlantic
TWO,Cyclonic Storm,June 2016,Indian
AGATHA,Tropical Storm,July 2016,E. Pacific
NEPARTAK,Violent Typhoon,July 2016,W. Pacific
BLAS,Hurricane - Category 4,July 2016,E. Pacific
CELIA,Hurricane - Category 2,July 2016,E. Pacific
DARBY,Hurricane - Category 3,July 2016,E. Pacific
ESTELLE,Tropical Storm,July 2016,E. Pacific
ABELA,Severe Tropical Storm,July 2016,Indian
THREE,Tropical Depression,July 2016,W. Pacific
FRANK,Hurricane - Category 1,July 2016,E. Pacific
GEORGETTE,Hurricane - Category 4,July 2016,E. Pacific
LUPIT,Tropical Storm,July 2016,W. Pacific
MIRINAE,Tropical Storm,July 2016,W. Pacific
NIDA,Typhoon,July 2016,W. Pacific
HOWARD,Tropical Storm,July 2016,E. Pacific
EARL,Hurricane - Category 1,August 2016,Atlantic
IVETTE,Tropical Storm,August 2016,E. Pacific
OMAIS,Severe Tropical Storm,August 2016,W. Pacific
JAVIER,Hurricane - Category 1,August 2016,E. Pacific
CONSON,Severe Tropical Storm,August 2016,W. Pacific
CHANTHU,Tropical Storm,August 2016,W. Pacific
FIONA,Tropical Storm,August 2016,Atlantic
MINDULLE,Severe Tropical Storm,August 2016,W. Pacific
DIANMU,Tropical Storm,August 2016,W. Pacific
LIONROCK,Violent Typhoon,August 2016,W. Pacific
KAY,Tropical Storm,August 2016,E. Pacific
KOMPASU,Tropical Storm,August 2016,W. Pacific
GASTON,Hurricane - Category 3,August 2016,Atlantic
FOURTEEN,Tropical Depression,August 2016,W. Pacific
LESTER,Hurricane - Category 4,August 2016,E. Pacific
MADELINE,Hurricane - Category 4,August 2016,E. Pacific
TD,Tropical Depression,August 2016,Atlantic
HERMINE,Hurricane - Category 1,August 2016,Atlantic
NAMTHEUN,Very Strong Typhoon,August 2016,W. Pacific
NEWTON,Hurricane - Category 2,September 2016,E. Pacific
MERANTI,Violent Typhoon,September 2016,W. Pacific
ORLENE,Hurricane - Category 2,September 2016,E. Pacific
SEVENTEEN,Tropical Depression,September 2016,W. Pacific
MALAKAS,Violent Typhoon,September 2016,W. Pacific
RAI,Tropical Depression,September 2016,W. Pacific
IAN,Post-Tropical Cyclone,September 2016,Atlantic
JULIA,Tropical Storm,September 2016,Atlantic
KARL,Tropical Storm,September 2016,Atlantic
PAINE,Hurricane - Category 2,September 2016,E. Pacific
LISA,Tropical Storm,September 2016,Atlantic
MEGI,Violent Typhoon,September 2016,W. Pacific
ROSLYN,Tropical Storm,September 2016,E. Pacific
ULIKA,Hurricane - Category 1,September 2016,E. Pacific
CHABA,Violent Typhoon,September 2016,W. Pacific
MATTHEW,Hurricane - Category 5,September 2016,Atlantic
NICOLE,Hurricane - Category 4,October 2016,Atlantic
AERE,Severe Tropical Storm,October 2016,W. Pacific
SONGDA,Violent Typhoon,October 2016,W. Pacific
SARIKA,Violent Typhoon,October 2016,W. Pacific
HAIMA,Violent Typhoon,October 2016,W. Pacific
SEYMOUR,Hurricane - Category 4,October 2016,E. Pacific
KYANT,Severe Cyclonic Storm,October 2016,Indian
MEARI,Very Strong Typhoon,November 2016,W. Pacific
MA-ON,Tropical Storm,November 2016,W. Pacific
TWENTYEIGHT,Tropical Depression,November 2016,W. Pacific
TINA,Tropical Storm,November 2016,E. Pacific
OTTO,Hurricane - Category 2,November 2016,Atlantic
TOKAGE,Severe Tropical Storm,November 2016,W. Pacific
OTTO,Tropical Storm,November 2016,E. Pacific
NADA,Cyclonic Storm,November 2016,Indian
VARDAH,Very Severe Cyclonic Storm,December 2016,Indian
YVETTE,Moderate Tropical Storm,December 2016,Indian
NOCK-TEN,Violent Typhoon,December 2016,W. Pacific
