Name,Status,Date,Basin
NINETEEN,Moderate Tropical Storm,May 2012,Indian
ALETTA,Tropical Storm,May 2012,E. Pacific
ALBERTO,Tropical Storm,May 2012,Atlantic
BUD,Hurricane - Category 3,May 2012,E. Pacific
SANVU,Typhoon,May 2012,W. Pacific
BERYL,Tropical Storm,May 2012,Atlantic
MAWAR,Very Strong Typhoon,May 2012,W. Pacific
KUENA,Severe Tropical Storm,June 2012,Indian
GUCHOL,Violent Typhoon,June 2012,W. Pacific
CARLOTTA,Hurricane - Category 2,June 2012,E. Pacific
TALIM,Tropical Storm,June 2012,W. Pacific
CHRIS,Hurricane - Category 1,June 2012,Atlantic
DEBBY,Tropical Storm,June 2012,Atlantic
DOKSURI,Severe Tropical Storm,June 2012,W. Pacific
TWENTYONE,Tropical Cyclone - Category 1,June 2012,S. Pacific
DANIEL,Hurricane - Category 3,July 2012,E. Pacific
EMILIA,Hurricane - Category 4,July 2012,E. Pacific
FABIO,Hurricane - Category 2,July 2012,E. Pacific
KHANUN,Severe Tropical Storm,July 2012,W. Pacific
VICENTE,Violent Typhoon,July 2012,W. Pacific
SAOLA,Very Strong Typhoon,July 2012,W. Pacific
DAMREY,Typhoon,July 2012,W. Pacific
ERNESTO,Hurricane - Category 1,August 2012,Atlantic
HAIKUI,Typhoon,August 2012,W. Pacific
FLORENCE,Tropical Storm,August 2012,Atlantic
KIROGI,Tropical Storm,August 2012,W. Pacific
GILMA,Hurricane - Category 1,August 2012,E. Pacific
HELENE,Tropical Storm,August 2012,Atlantic
HECTOR,Tropical Storm,August 2012,E. Pacific
KAI-TAK,Typhoon,August 2012,W. Pacific
GORDON,Hurricane - Category 2,August 2012,Atlantic
TEMBIN,Violent Typhoon,August 2012,W. Pacific
BOLAVEN,Violent Typhoon,August 2012,W. Pacific
ISAAC,Hurricane - Category 1,August 2012,Atlantic
JOYCE,Tropical Storm,August 2012,Atlantic
ILEANA,Hurricane - Category 1,August 2012,E. Pacific
KIRK,Hurricane - Category 2,August 2012,Atlantic
LESLIE,Hurricane - Category 1,August 2012,Atlantic
JOHN,Tropical Storm,September 2012,E. Pacific
